Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Interest","Vol/OI Ratio",IV,Time
TRIP,42.18,Call,42.5,08/18/17,6,0.65,0.75,0.85,0.6,580,116,5,45.45%,08/11/17
FCX,13.96,Call,19,11/17/17,97,0.10,0.12,0.14,0.11,2011,404,4.98,41.77%,08/11/17
AFL,80.75,Put,77.5,09/15/17,34,0.53,0.57,0.60,0.53,870,178,4.89,18.40%,08/11/17
AMZN,967.99,Call,960,08/11/17,1,7.75,8.13,8.50,8.35,3260,670,4.87,0.00%,08/11/17
COLL,10.34,Put,10,08/18/17,6,0.25,0.43,0.60,0.35,510,105,4.86,122.22%,08/11/17
CERN,62.11,Put,57.5,09/15/17,34,0.30,0.35,0.40,0.31,5902,1216,4.85,25.06%,08/11/17
GE,25.2,Put,25,09/22/17,41,0.53,0.58,0.62,0.54,913,193,4.73,20.61%,08/11/17
GOOGL,930.09,Call,935,08/11/17,1,0.00,0.05,0.05,0.1,1619,342,4.73,0.00%,08/11/17
MCD,157.3,Put,160,08/11/17,1,2.54,2.63,2.72,2.54,620,131,4.73,0.00%,08/11/17
HUBS,67.35,Put,60,09/15/17,34,0.75,1,1.25,1,1150,243,4.73,46.39%,08/11/17
EDIT,21.95,Call,22.5,09/15/17,34,1.45,1.6,1.75,1.65,581,123,4.72,69.66%,08/11/17
AAOI,65.84,Call,80,09/22/17,41,0.95,1.08,1.20,1.1,1116,238,4.69,56.89%,08/11/17
AMZN,967.99,Put,960,08/11/17,1,0.00,0.1,0.10,0.01,7699,1648,4.67,0.00%,08/11/17
MELI,240.16,Call,230,09/15/17,34,17.40,18.15,18.90,18.4,786,171,4.6,43.58%,08/11/17
CLVS,70.99,Call,85,01/19/18,160,4.70,5.15,5.60,5.1,644,141,4.57,52.14%,08/11/17
AMZN,967.99,Call,970,08/11/17,1,0.03,0.07,0.10,0.04,6725,1476,4.56,0.00%,08/11/17
RIO,44.61,Put,45,09/15/17,34,1.65,1.73,1.80,1.75,4978,1094,4.55,28.76%,08/11/17
GOOGL,930.09,Call,925,08/11/17,1,4.10,5.15,6.20,5.8,548,121,4.53,0.00%,08/11/17
ADBE,146.47,Put,141,08/18/17,6,0.34,0.38,0.41,0.37,557,123,4.53,30.55%,08/11/17
BIDU,223.49,Call,220,08/11/17,1,3.10,3.55,4.00,3.45,1071,237,4.52,0.00%,08/11/17
M,20.62,Call,20.5,08/18/17,6,0.45,0.48,0.50,0.5,1388,307,4.52,42.78%,08/11/17
