Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Interest","Vol/OI Ratio",IV,Time
CBI,11.97,Put,10,09/15/17,35,0.40,0.5,0.60,0.5,594,151,3.93,93.91%,08/10/17
POST,84.58,Put,75,09/15/17,35,0.15,0.23,0.30,0.25,526,135,3.9,27.58%,08/10/17
VRX,13.81,Call,14,08/11/17,0,0.13,0.15,0.16,0.15,5225,1339,3.9,78.30%,08/10/17
CMG,322.65,Call,335,08/11/17,0,0.10,0.15,0.20,0.15,732,188,3.89,43.21%,08/10/17
NVDA,164.74,Call,202.5,08/11/17,0,0.14,0.15,0.15,0.15,1397,359,3.89,194.14%,08/10/17
GD,198.28,Call,190,11/17/17,98,12.20,12.4,12.60,13.3,1001,259,3.86,17.97%,08/10/17
CMI,155.83,Put,155,08/11/17,0,0.40,0.5,0.60,0.4,789,205,3.85,26.29%,08/10/17
HALO,12.13,Put,13,08/18/17,7,0.85,0.93,1.00,0.45,3316,862,3.85,49.86%,08/10/17
EBAY,34.99,Put,25,01/18/19,525,0.50,0.75,1.00,0.86,5000,1298,3.85,28.06%,08/10/17
DVN,31.76,Put,32.5,08/18/17,7,1.12,1.15,1.17,0.88,913,237,3.85,43.75%,08/10/17
QEP,7.24,Put,20,01/19/18,161,12.70,12.8,12.90,6.6,3000,784,3.83,90.25%,08/10/17
SNE,38.88,Put,36,08/18/17,7,0.00,0.1,0.10,0.05,787,206,3.82,39.05%,08/10/17
BTU,28.41,Call,30,10/20/17,70,0.80,0.98,1.15,1.05,2500,660,3.79,32.20%,08/10/17
DEO,129.08,Call,120,08/18/17,7,8.70,9.7,10.70,12.6,857,226,3.79,52.77%,08/10/17
CAA,34.93,Call,40,08/18/17,7,0.00,0.05,0.05,0.05,1000,264,3.79,54.09%,08/10/17
SBUX,53.07,Call,54,08/25/17,14,0.34,0.59,0.84,0.39,1103,293,3.76,24.29%,08/10/17
DDS,61.7,Put,60,08/18/17,7,1.40,1.6,1.80,1.45,604,161,3.75,75.77%,08/10/17
SNAP,13.77,Call,18.5,08/18/17,7,0.11,0.17,0.23,0.15,516,138,3.74,178.70%,08/10/17
ADSK,104.98,Call,110,09/15/17,35,3.30,3.53,3.75,3.5,1571,420,3.74,43.20%,08/10/17
FLEX,15.75,Put,16,09/15/17,35,0.54,0.56,0.57,0.51,579,155,3.74,22.12%,08/10/17
AMD,12.12,Call,12,08/11/17,0,0.32,0.33,0.33,0.32,2729,730,3.74,103.43%,08/10/17
TEVA,17.19,Call,18,08/11/17,0,0.05,0.08,0.10,0.08,6674,1791,3.73,91.25%,08/10/17
ASGN,46.83,Put,55,08/18/17,7,7.50,8.35,9.20,6.15,505,136,3.71,86.95%,08/10/17
C,67.22,Call,77.5,09/15/17,35,0.02,0.03,0.04,0.03,525,142,3.7,21.91%,08/10/17
CMG,322.65,Call,332.5,08/11/17,0,0.20,0.28,0.35,0.35,544,147,3.7,41.66%,08/10/17
PNC,128.99,Call,65,01/19/18,161,62.15,64.33,66.50,62.1,1165,317,3.68,41.23%,08/10/17
AMZN,956.92,Put,960,08/11/17,0,6.70,7.05,7.40,7.05,5106,1401,3.64,26.91%,08/10/17
JCP,4.71,Put,4.5,08/11/17,0,0.21,0.23,0.24,0.22,10473,2892,3.62,332.34%,08/10/17
NFLX,169.14,Put,167.5,08/11/17,0,0.90,0.95,1.00,0.94,8042,2228,3.61,46.75%,08/10/17
PFE,33.42,Put,34,01/19/18,161,1.66,1.69,1.71,1.69,1515,421,3.6,16.45%,08/10/17
FB,167.4,Put,190,08/25/17,14,22.30,22.6,22.90,17.1,501,140,3.58,31.83%,08/10/17
TWTR,15.75,Put,15,12/15/17,126,1.17,1.2,1.22,1.2,5715,1599,3.57,43.76%,08/10/17
GS,225.5,Call,227.5,08/11/17,0,0.40,0.45,0.50,0.57,3021,847,3.57,25.17%,08/10/17
HD,153.88,Put,105,10/20/17,70,0.04,0.05,0.05,0.05,1239,347,3.57,35.93%,08/10/17
NVDA,164.74,Put,145,08/11/17,0,0.75,0.83,0.90,0.83,6226,1744,3.57,196.95%,08/10/17
TSLA,355.4,Call,360,08/11/17,0,1.18,1.27,1.35,1.2,9657,2712,3.56,40.45%,08/10/17
NFLX,169.14,Call,172.5,08/18/17,7,2.17,2.24,2.30,2.17,1892,532,3.56,41.92%,08/10/17
KSS,39.5,Put,37.5,09/15/17,35,1.10,1.18,1.25,1.15,670,188,3.56,43.42%,08/10/17
AMZN,956.92,Call,980,08/11/17,0,0.25,0.29,0.33,0.3,3408,959,3.55,27.60%,08/10/17
LMT,303.25,Call,345,12/15/17,126,0.75,0.83,0.90,0.8,511,144,3.55,14.43%,08/10/17
KEY,17.62,Call,19.5,08/25/17,14,0.00,0.27,0.27,0.03,879,248,3.54,51.00%,08/10/17
MYL,32.29,Put,30,08/11/17,0,0.00,0.03,0.03,0.06,5785,1640,3.53,75.50%,08/10/17
BKE,15.6,Put,15,08/18/17,7,0.30,0.38,0.45,0.35,612,175,3.5,80.69%,08/10/17
NVDA,164.74,Call,182.5,08/18/17,7,2.55,2.74,2.93,2.6,2497,716,3.49,100.90%,08/10/17
DDS,61.7,Put,67.5,08/18/17,7,5.90,6.4,6.90,6.5,1445,414,3.49,76.16%,08/10/17
AMZN,956.92,Put,945,08/11/17,0,1.80,1.95,2.09,2,1527,439,3.48,31.03%,08/10/17
CELG,130.37,Put,128,08/18/17,7,1.00,1.05,1.09,1.05,641,184,3.48,30.57%,08/10/17
COP,44.97,Call,45.5,08/11/17,0,0.07,0.09,0.10,0.13,1170,338,3.46,28.72%,08/10/17
TSLA,355.4,Put,362.5,08/11/17,0,7.30,7.78,8.25,8,2983,864,3.45,39.76%,08/10/17
AMAT,42.03,Put,42.5,08/18/17,7,1.50,1.53,1.56,1.53,2205,643,3.43,59.47%,08/10/17
ROST,54.8,Call,55,08/18/17,7,1.50,1.58,1.65,1.55,4634,1364,3.4,59.44%,08/10/17
GM,34.88,Put,35.5,08/11/17,0,0.61,0.63,0.64,0.6,1665,491,3.39,19.37%,08/10/17
RTN,177.62,Put,170,09/15/17,35,1.30,1.43,1.56,1.38,1077,319,3.38,20.00%,08/10/17
NVDA,164.74,Call,197.5,08/11/17,0,0.14,0.2,0.25,0.23,1411,419,3.37,183.12%,08/10/17
DB,16.86,Put,16.5,08/18/17,7,0.19,0.2,0.21,0.19,769,229,3.36,41.27%,08/10/17
WFC,51.95,Put,51.5,08/25/17,14,0.54,0.6,0.65,0.47,1001,298,3.36,20.75%,08/10/17
PCLN,1849.62,Call,1895,08/11/17,0,0.35,0.55,0.75,0.42,520,155,3.35,27.86%,08/10/17
MTRN,37.75,Call,40,08/18/17,7,0.00,0.4,0.40,0.2,505,151,3.34,46.10%,08/10/17
AMTD,43.6,Call,33,08/18/17,7,10.40,10.8,11.20,12.7,700,211,3.32,143.08%,08/10/17
M,20.67,Put,22,08/11/17,0,1.18,1.39,1.59,1.3,6089,1840,3.31,96.16%,08/10/17
MCD,156.62,Put,155,08/11/17,0,0.12,0.17,0.22,0.14,1636,498,3.29,21.61%,08/10/17
AAPL,155.32,Put,155,08/11/17,0,0.88,0.91,0.94,0.92,39404,12039,3.27,32.85%,08/10/17
GME,21.47,Put,21,01/19/18,161,2.26,2.32,2.38,2.27,953,291,3.27,46.50%,08/10/17
FB,167.4,Put,145,02/16/18,189,4.20,4.35,4.50,4.25,2015,618,3.26,28.60%,08/10/17
SWKS,101.6,Call,107,08/25/17,14,0.50,0.58,0.65,0.72,504,156,3.23,29.83%,08/10/17
AAPL,155.32,Call,160,08/11/17,0,0.06,0.07,0.07,0.07,65396,20375,3.21,35.09%,08/10/17
FB,167.4,Put,165,08/11/17,0,0.37,0.39,0.41,0.37,8546,2700,3.17,35.68%,08/10/17
TSLA,355.4,Call,362.5,08/18/17,7,4.45,4.68,4.90,4.6,1043,330,3.16,41.88%,08/10/17
LOW,77.01,Put,77,08/18/17,7,1.01,1.04,1.07,0.89,664,210,3.16,26.70%,08/10/17
NFLX,169.14,Call,175,08/11/17,0,0.10,0.12,0.14,0.13,6840,2171,3.15,43.82%,08/10/17
MIC,73.42,Call,80,01/19/18,161,1.05,1.08,1.10,1.05,2072,658,3.15,16.31%,08/10/17
LNG,41.11,Put,41.5,08/18/17,7,0.93,0.98,1.02,0.98,1559,495,3.15,36.37%,08/10/17
BIDU,222.57,Call,232.5,08/18/17,7,0.87,0.97,1.06,0.95,622,198,3.14,35.86%,08/10/17
EOG,89.12,Put,88.5,08/11/17,0,0.29,0.34,0.39,0.24,529,169,3.13,32.39%,08/10/17
AMZN,956.92,Put,957.5,08/11/17,0,5.45,5.75,6.05,5.81,1346,432,3.12,27.36%,08/10/17
AMZN,956.92,Put,962.5,08/11/17,0,8.15,8.58,9.00,8.3,2317,742,3.12,26.68%,08/10/17
AMZN,956.92,Put,910,08/11/17,0,0.24,0.26,0.27,0.21,654,211,3.1,50.00%,08/10/17
BOFI,27.47,Call,12.5,01/19/18,161,14.60,15.05,15.50,9.7,1045,337,3.1,52.37%,08/10/17
CSCO,31,Call,30,08/11/17,0,0.99,1.02,1.04,1.16,620,200,3.1,38.97%,08/10/17
GNE,6.04,Put,10,08/18/17,7,3.90,4.1,4.30,3.49,809,262,3.09,306.09%,08/10/17
NFLX,169.14,Put,165,08/11/17,0,0.43,0.44,0.45,0.49,5629,1820,3.09,51.69%,08/10/17
KEM,18.72,Call,9,09/15/17,35,9.60,9.9,10.20,7.4,2410,782,3.08,158.05%,08/10/17
ACHN,4.43,Call,5,12/15/17,126,0.45,0.58,0.70,0.55,579,188,3.08,75.50%,08/10/17
CELG,130.37,Put,130,08/11/17,0,0.59,0.64,0.69,0.55,589,191,3.08,29.91%,08/10/17
FLT,138.74,Call,150,11/17/17,98,5.50,5.95,6.40,6,4358,1420,3.07,35.47%,08/10/17
AABA,58.03,Call,61,08/18/17,7,0.26,0.41,0.55,0.4,4024,1312,3.07,46.69%,08/10/17
RHT,95.95,Call,110,09/15/17,35,0.00,0.15,0.15,0.15,505,165,3.06,23.10%,08/10/17
JCP,4.71,Call,5,09/15/17,35,0.32,0.35,0.38,0.38,4281,1406,3.04,81.33%,08/10/17
JD,46.09,Put,46,08/11/17,0,0.28,0.36,0.44,0.43,1871,616,3.04,42.02%,08/10/17
TAHO,5.18,Put,5,09/15/17,35,0.20,0.25,0.30,0.2,2000,658,3.04,54.03%,08/10/17
TSLA,355.4,Put,357.5,08/18/17,7,8.45,8.88,9.30,8.57,959,317,3.03,42.86%,08/10/17
SCCO,38.55,Put,27,12/15/17,126,0.10,0.18,0.25,0.45,573,189,3.03,38.76%,08/10/17
M,20.67,Call,24,09/22/17,42,0.17,0.24,0.30,0.19,863,285,3.03,41.98%,08/10/17
TRIP,39.71,Put,39.5,08/11/17,0,0.25,0.3,0.35,0.38,569,188,3.03,47.96%,08/10/17
NTES,284.25,Put,280,08/11/17,0,0.75,1.15,1.55,1.2,942,312,3.02,47.10%,08/10/17
AMZN,956.92,Call,982.5,08/11/17,0,0.17,0.27,0.36,0.3,1013,339,2.99,29.41%,08/10/17
APC,43.7,Call,45,11/17/17,98,2.49,2.53,2.57,2.66,3075,1029,2.99,33.90%,08/10/17
TSLA,355.4,Put,360,08/11/17,0,5.50,5.75,6.00,5.5,11359,3814,2.98,38.75%,08/10/17
BIDU,222.57,Call,227.5,08/11/17,0,0.20,0.24,0.28,0.27,1774,595,2.98,35.26%,08/10/17
WFT,3.95,Put,10,01/19/18,161,3.80,5.83,7.85,6.07,807,273,2.96,0.00%,08/10/17
AYR,22.45,Call,22.5,10/20/17,70,0.70,0.83,0.95,0.85,523,178,2.94,21.28%,08/10/17
AMZN,956.92,Call,965,08/18/17,7,9.90,10.25,10.60,10.4,585,199,2.94,28.18%,08/10/17
C,67.22,Call,25,01/19/18,161,41.00,42.5,44.00,43.35,900,306,2.94,75.05%,08/10/17
NG,3.97,Call,5,12/15/17,126,0.15,0.2,0.25,0.23,2070,706,2.93,54.87%,08/10/17
TECK,22.24,Put,22,11/17/17,98,1.86,1.9,1.93,1.84,2180,747,2.92,45.03%,08/10/17
BLDR,16.15,Call,14,09/15/17,35,2.15,2.28,2.40,2.7,1000,342,2.92,40.46%,08/10/17
AAPL,155.32,Call,150,08/11/17,0,5.25,5.38,5.50,5.46,2043,700,2.92,38.31%,08/10/17
JWN,44.87,Put,45,08/18/17,7,1.84,1.9,1.95,1.95,5803,2011,2.89,79.80%,08/10/17
AGN,232.2,Put,225,09/15/17,35,3.05,3.23,3.40,3.07,1230,425,2.89,22.45%,08/10/17
ETE,17.23,Call,10,01/18/19,525,7.05,7.5,7.95,7.9,552,191,2.89,30.28%,08/10/17
VNTV,69.3,Put,65,09/15/17,35,0.75,0.85,0.95,0.85,4410,1531,2.88,29.80%,08/10/17
KSS,39.5,Call,40,09/15/17,35,1.40,1.48,1.55,1.46,1701,590,2.88,35.08%,08/10/17
SPNC,38.45,Call,35,08/18/17,7,3.40,4.7,6.00,3.57,1225,425,2.88,139.62%,08/10/17
AMD,12.12,Put,11.5,08/11/17,0,0.05,0.06,0.06,0.04,2628,911,2.88,102.58%,08/10/17
SNAP,13.77,Put,11,08/11/17,0,0.17,0.21,0.24,0.21,8526,2974,2.87,413.08%,08/10/17
PPL,38.75,Put,37,01/18/19,525,2.55,2.7,2.85,2.65,801,279,2.87,20.82%,08/10/17
