MDXG,14.65,Put,12.5,12/15/17,142,1.10,1.15,1.20,1.2,5103,1016,5.02,62.06%,07/26/17
F,11.06,Call,11,07/28/17,2,0.08,0.09,0.09,0.11,2817,561,5.02,21.29%,07/26/17
BIDU,201.17,Call,215,07/28/17,2,0.93,1.03,1.12,0.95,743,148,5.02,122.08%,07/26/17
NEM,36.96,Put,36,08/18/17,23,0.45,0.49,0.52,0.41,5040,1013,4.98,24.98%,07/26/17
BABA,155.79,Put,143,08/11/17,16,0.55,0.72,0.88,1.05,525,106,4.95,37.28%,07/26/17
AMAT,47.45,Call,46.5,07/28/17,2,1.01,1.06,1.10,1,2828,571,4.95,42.60%,07/26/17
AIG,65.19,Put,63,08/11/17,16,0.45,0.51,0.56,0.48,953,193,4.94,25.67%,07/26/17
UA,17.55,Put,17,08/04/17,9,0.55,0.65,0.75,0.55,529,107,4.94,88.29%,07/26/17
DPS,92.15,Put,90,08/18/17,23,1.00,1.13,1.25,1.3,1051,213,4.93,22.91%,07/26/17
BX,34.49,Call,25,01/18/19,541,7.65,8.83,10.00,9.9,30000,6217,4.83,0.00%,07/26/17
LVS,61.65,Put,62,08/04/17,9,1.55,1.65,1.74,1.64,2885,599,4.82,40.31%,07/26/17
AMD,14.76,Put,17,09/15/17,51,2.68,2.7,2.72,2.66,2088,435,4.8,55.87%,07/26/17
EA,118,Put,115,08/18/17,23,2.75,2.93,3.10,3.45,1212,253,4.79,37.61%,07/26/17
CAT,113.52,Call,115,08/11/17,16,1.00,1.09,1.17,1.1,912,191,4.77,18.45%,07/26/17
JNPR,28.06,Call,28,08/18/17,23,0.63,0.66,0.69,0.63,1176,247,4.76,22.59%,07/26/17
PANW,138.73,Put,110,12/15/17,142,2.44,2.63,2.82,2.6,528,111,4.76,39.16%,07/26/17
CMG,340.6,Put,335,08/04/17,9,4.70,4.8,4.90,4.84,955,202,4.73,36.55%,07/26/17
HES,43.47,Call,43,07/28/17,2,0.68,0.74,0.80,0.73,2841,602,4.72,51.73%,07/26/17
CVS,78.29,Put,78,07/28/17,2,0.30,0.34,0.37,0.33,2080,441,4.72,28.60%,07/26/17
BIIB,295.61,Call,297.5,07/28/17,2,1.70,1.9,2.10,1.95,787,167,4.71,44.22%,07/26/17
HL,5.45,Call,6,08/18/17,23,0.05,0.07,0.08,0.06,6040,1285,4.7,44.31%,07/26/17
MSFT,74.05,Call,74.5,09/01/17,37,1.01,1.06,1.10,1.02,1768,377,4.69,13.24%,07/26/17
GT,35.79,Call,37,08/18/17,23,0.50,0.55,0.60,0.55,1038,222,4.68,29.10%,07/26/17
MO,71.73,Put,70,07/28/17,2,0.02,0.07,0.11,0.06,1062,228,4.66,36.59%,07/26/17
GILD,74.19,Put,74,07/28/17,2,1.64,1.65,1.65,1.64,3739,803,4.66,112.44%,07/26/17
EPD,27.6,Put,27,08/18/17,23,0.30,0.35,0.40,0.35,1156,250,4.62,22.82%,07/26/17
MSFT,74.05,Put,47.5,12/15/17,142,0.11,0.12,0.13,0.12,590,128,4.61,36.45%,07/26/17
FB,165.61,Call,220,08/18/17,23,0.00,0.13,0.13,0.02,612,133,4.6,48.44%,07/26/17
WBA,78.68,Put,76,08/18/17,23,0.47,0.51,0.55,0.45,1039,227,4.58,19.75%,07/26/17
MGM,33.87,Put,34.5,07/28/17,2,1.07,1.12,1.17,1.17,2038,450,4.53,107.15%,07/26/17
CAG,33.83,Call,37,12/15/17,142,0.55,0.63,0.70,0.65,1622,362,4.48,19.77%,07/26/17
CYTR,0.6,Call,1,03/16/18,233,0.10,0.13,0.15,0.15,702,158,4.44,116.28%,07/26/17
STX,32.34,Put,32,03/16/18,233,3.90,3.98,4.05,4.05,1113,251,4.43,41.88%,07/26/17
HCA,81.63,Put,80,07/28/17,2,0.20,0.25,0.30,0.35,812,184,4.41,48.63%,07/26/17
FB,165.61,Call,172.5,08/18/17,23,2.08,2.16,2.24,2.15,2077,472,4.4,29.05%,07/26/17
CVX,105.12,Put,103,07/28/17,2,0.45,0.47,0.49,0.46,3208,734,4.37,57.82%,07/26/17
MSI,91.84,Call,92.5,08/18/17,23,1.92,2,2.07,1.89,715,164,4.36,25.29%,07/26/17
AMD,14.76,Call,16,08/11/17,16,0.25,0.26,0.26,0.24,2148,493,4.36,56.91%,07/26/17
STX,32.34,Call,33,09/15/17,51,1.14,1.19,1.23,1.16,1142,263,4.34,30.52%,07/26/17
CMG,340.6,Put,335,07/28/17,2,1.60,1.8,2.00,1.8,1705,393,4.34,56.62%,07/26/17
AMD,14.76,Put,14.5,08/18/17,23,0.63,0.65,0.66,0.65,1196,276,4.33,53.96%,07/26/17
UAL,70.24,Call,69,07/28/17,2,1.39,1.47,1.55,1.49,502,116,4.33,46.42%,07/26/17
CAT,113.52,Call,116,08/04/17,9,0.37,0.41,0.45,0.45,582,135,4.31,18.88%,07/26/17
VLO,67.99,Put,67.5,08/04/17,9,0.92,1.04,1.15,1.08,540,126,4.29,31.80%,07/26/17
TK,8.57,Put,10,08/18/17,23,1.65,1.75,1.85,1.8,1028,241,4.27,94.64%,07/26/17
MA,130.99,Call,145,01/19/18,177,1.43,1.72,2.00,1.74,1518,359,4.23,16.33%,07/26/17
FB,165.61,Put,162.5,08/18/17,23,3.20,3.55,3.90,3.3,679,161,4.22,31.10%,07/26/17
GLW,30.42,Call,31,08/04/17,9,0.12,0.16,0.20,0.17,519,123,4.22,20.93%,07/26/17
MO,71.73,Call,74,07/28/17,2,0.00,0.06,0.06,0.03,1255,302,4.16,36.45%,07/26/17
PYPL,58.79,Put,56,07/28/17,2,0.56,0.61,0.66,0.6,1097,264,4.16,137.06%,07/26/17
AMZN,1052.8,Call,1160,07/28/17,2,0.41,0.55,0.69,0.96,850,205,4.15,95.47%,07/26/17
CMG,340.6,Put,340,07/28/17,2,3.60,3.8,4.00,3.53,3593,867,4.14,57.67%,07/26/17
SLB,66.99,Put,67,07/28/17,2,0.41,0.44,0.47,0.48,2466,595,4.14,31.17%,07/26/17
TPX,56.85,Call,57.5,08/18/17,23,2.65,2.93,3.20,2.9,2283,555,4.11,57.60%,07/26/17
VLO,67.99,Put,66.5,08/04/17,9,0.54,0.7,0.86,0.69,521,127,4.1,33.20%,07/26/17
FCX,15.06,Call,16,07/28/17,2,0.03,0.04,0.04,0.05,5744,1407,4.08,90.42%,07/26/17
USB,52.43,Put,52,08/04/17,9,0.29,0.32,0.35,0.29,2103,516,4.08,16.57%,07/26/17
SEAS,15.04,Call,20,01/19/18,177,0.15,0.2,0.25,0.15,14000,3441,4.07,32.46%,07/26/17
TWTR,19.61,Put,19.5,08/18/17,23,1.06,1.13,1.20,1.18,1210,298,4.06,62.24%,07/26/17
CMG,340.6,Put,327.5,07/28/17,2,0.50,0.6,0.70,0.57,814,202,4.03,62.11%,07/26/17
S,8.55,Call,14,08/18/17,23,0.00,0.04,0.04,0.02,600,149,4.03,98.31%,07/26/17
AMZN,1052.8,Put,1050,07/28/17,2,18.60,19.1,19.60,19.25,1206,300,4.02,93.31%,07/26/17
ADP,105.98,Call,115,08/18/17,23,0.65,0.73,0.80,0.81,1689,420,4.02,32.70%,07/26/17
V,100.85,Put,101,07/28/17,2,0.53,0.6,0.66,0.56,1124,282,3.99,24.59%,07/26/17
IRBT,106.49,Call,100,08/18/17,23,8.30,8.75,9.20,8.51,1439,364,3.95,47.26%,07/26/17
SNAP,13.4,Put,13,08/04/17,9,0.61,0.63,0.65,0.64,4348,1100,3.95,104.76%,07/26/17
AMD,14.76,Put,16,07/28/17,2,1.25,1.29,1.32,1.3,2732,694,3.94,120.01%,07/26/17
TWTR,19.61,Put,16.5,07/28/17,2,0.08,0.1,0.11,0.1,4827,1228,3.93,245.09%,07/26/17
XLNX,65.32,Call,65,07/28/17,2,1.76,1.9,2.03,1.8,546,139,3.93,127.12%,07/26/17
MSFT,74.05,Call,74.5,08/18/17,23,0.78,0.8,0.81,0.72,936,238,3.93,13.51%,07/26/17
AMD,14.76,Call,15.5,08/04/17,9,0.21,0.23,0.24,0.22,8731,2226,3.92,57.21%,07/26/17
MU,29.81,Call,31,07/28/17,2,0.11,0.12,0.13,0.13,23428,6020,3.89,79.99%,07/26/17
